Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = <Not Found>, 991 search operations, 991 insert operations
Romania = <Not Found>, 991 search operations, 991 insert operations
Trinidad and Tobago = <Not Found>, 991 search operations, 991 insert operations
Iran = <Not Found>, 991 search operations, 991 insert operations
Nicaragua = <Not Found>, 991 search operations, 991 insert operations
Guernsey = 65, 972 search operations, 991 insert operations
Ireland = <Not Found>, 991 search operations, 991 insert operations
Germany = <Not Found>, 991 search operations, 991 insert operations
Liechtenstein = <Not Found>, 991 search operations, 991 insert operations
Guernsey = 65, 972 search operations, 991 insert operations
Trinidad and Tobago = <Not Found>, 991 search operations, 991 insert operations
Europe = <Not Found>, 991 search operations, 991 insert operations
Armenia = <Not Found>, 991 search operations, 991 insert operations
High income = <Not Found>, 991 search operations, 991 insert operations
Malta = 1764, 719 search operations, 991 insert operations
South America = 2833576, 21 search operations, 991 insert operations
Scotland = <Not Found>, 991 search operations, 991 insert operations
Madagascar = <Not Found>, 991 search operations, 991 insert operations
Portugal = <Not Found>, 991 search operations, 991 insert operations
Czechia = <Not Found>, 991 search operations, 991 insert operations
Spain = <Not Found>, 991 search operations, 991 insert operations
Portugal = <Not Found>, 991 search operations, 991 insert operations
Madagascar = <Not Found>, 991 search operations, 991 insert operations
Denmark = <Not Found>, 991 search operations, 991 insert operations
Norway = <Not Found>, 991 search operations, 991 insert operations
Djibouti = <Not Found>, 991 search operations, 991 insert operations
Uruguay = <Not Found>, 991 search operations, 991 insert operations
Uruguay = <Not Found>, 991 search operations, 991 insert operations
Kenya = <Not Found>, 991 search operations, 991 insert operations
Pakistan = <Not Found>, 991 search operations, 991 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 1517 search operations, 1982 insert operations
Romania = 17672, 1849 search operations, 1982 insert operations
Trinidad and Tobago = <Not Found>, 1982 search operations, 1982 insert operations
Iran = <Not Found>, 1982 search operations, 1982 insert operations
Nicaragua = <Not Found>, 1982 search operations, 1982 insert operations
Guernsey = 65, 972 search operations, 1982 insert operations
Ireland = <Not Found>, 1982 search operations, 1982 insert operations
Germany = <Not Found>, 1982 search operations, 1982 insert operations
Liechtenstein = <Not Found>, 1982 search operations, 1982 insert operations
Guernsey = 65, 972 search operations, 1982 insert operations
Trinidad and Tobago = <Not Found>, 1982 search operations, 1982 insert operations
Europe = <Not Found>, 1982 search operations, 1982 insert operations
Armenia = <Not Found>, 1982 search operations, 1982 insert operations
High income = <Not Found>, 1982 search operations, 1982 insert operations
Malta = 1764, 719 search operations, 1982 insert operations
South America = 2833576, 21 search operations, 1982 insert operations
Scotland = <Not Found>, 1982 search operations, 1982 insert operations
Madagascar = <Not Found>, 1982 search operations, 1982 insert operations
Portugal = <Not Found>, 1982 search operations, 1982 insert operations
Czechia = <Not Found>, 1982 search operations, 1982 insert operations
Spain = <Not Found>, 1982 search operations, 1982 insert operations
Portugal = <Not Found>, 1982 search operations, 1982 insert operations
Madagascar = <Not Found>, 1982 search operations, 1982 insert operations
Denmark = <Not Found>, 1982 search operations, 1982 insert operations
Norway = <Not Found>, 1982 search operations, 1982 insert operations
Djibouti = <Not Found>, 1982 search operations, 1982 insert operations
Uruguay = <Not Found>, 1982 search operations, 1982 insert operations
Uruguay = <Not Found>, 1982 search operations, 1982 insert operations
Kenya = <Not Found>, 1982 search operations, 1982 insert operations
Pakistan = <Not Found>, 1982 search operations, 1982 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 1517 search operations, 2973 insert operations
Romania = 17672, 1849 search operations, 2973 insert operations
Trinidad and Tobago = <Not Found>, 2973 search operations, 2973 insert operations
Iran = <Not Found>, 2973 search operations, 2973 insert operations
Nicaragua = <Not Found>, 2973 search operations, 2973 insert operations
Guernsey = 65, 972 search operations, 2973 insert operations
Ireland = <Not Found>, 2973 search operations, 2973 insert operations
Germany = 300683, 2142 search operations, 2973 insert operations
Liechtenstein = <Not Found>, 2973 search operations, 2973 insert operations
Guernsey = 65, 972 search operations, 2973 insert operations
Trinidad and Tobago = <Not Found>, 2973 search operations, 2973 insert operations
Europe = <Not Found>, 2973 search operations, 2973 insert operations
Armenia = <Not Found>, 2973 search operations, 2973 insert operations
High income = <Not Found>, 2973 search operations, 2973 insert operations
Malta = 1764, 719 search operations, 2973 insert operations
South America = 2833576, 21 search operations, 2973 insert operations
Scotland = <Not Found>, 2973 search operations, 2973 insert operations
Madagascar = 5727, 2475 search operations, 2973 insert operations
Portugal = <Not Found>, 2973 search operations, 2973 insert operations
Czechia = <Not Found>, 2973 search operations, 2973 insert operations
Spain = <Not Found>, 2973 search operations, 2973 insert operations
Portugal = <Not Found>, 2973 search operations, 2973 insert operations
Madagascar = 5727, 2475 search operations, 2973 insert operations
Denmark = <Not Found>, 2973 search operations, 2973 insert operations
Norway = <Not Found>, 2973 search operations, 2973 insert operations
Djibouti = <Not Found>, 2973 search operations, 2973 insert operations
Uruguay = <Not Found>, 2973 search operations, 2973 insert operations
Uruguay = <Not Found>, 2973 search operations, 2973 insert operations
Kenya = <Not Found>, 2973 search operations, 2973 insert operations
Pakistan = <Not Found>, 2973 search operations, 2973 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 1517 search operations, 3964 insert operations
Romania = 17672, 1849 search operations, 3964 insert operations
Trinidad and Tobago = <Not Found>, 3964 search operations, 3964 insert operations
Iran = <Not Found>, 3964 search operations, 3964 insert operations
Nicaragua = 31693, 3938 search operations, 3964 insert operations
Guernsey = 65, 972 search operations, 3964 insert operations
Ireland = <Not Found>, 3964 search operations, 3964 insert operations
Germany = 300683, 2142 search operations, 3964 insert operations
Liechtenstein = <Not Found>, 3964 search operations, 3964 insert operations
Guernsey = 65, 972 search operations, 3964 insert operations
Trinidad and Tobago = <Not Found>, 3964 search operations, 3964 insert operations
Europe = <Not Found>, 3964 search operations, 3964 insert operations
Armenia = <Not Found>, 3964 search operations, 3964 insert operations
High income = 4001294, 3883 search operations, 3964 insert operations
Malta = 1764, 719 search operations, 3964 insert operations
South America = 2833576, 21 search operations, 3964 insert operations
Scotland = <Not Found>, 3964 search operations, 3964 insert operations
Madagascar = 5727, 2475 search operations, 3964 insert operations
Portugal = <Not Found>, 3964 search operations, 3964 insert operations
Czechia = <Not Found>, 3964 search operations, 3964 insert operations
Spain = <Not Found>, 3964 search operations, 3964 insert operations
Portugal = <Not Found>, 3964 search operations, 3964 insert operations
Madagascar = 5727, 2475 search operations, 3964 insert operations
