Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = <Not found>, 11 search operations, 991 insert operations
Switzerland = <Not found>, 13 search operations, 991 insert operations
Grenada = <Not found>, 14 search operations, 991 insert operations
Taiwan = 337612, 16 search operations, 991 insert operations
Panama = <Not found>, 16 search operations, 991 insert operations
Israel = <Not found>, 19 search operations, 991 insert operations
Antigua and Barbuda = <Not found>, 11 search operations, 991 insert operations
Mongolia = <Not found>, 16 search operations, 991 insert operations
Kiribati = <Not found>, 18 search operations, 991 insert operations
Chad = <Not found>, 10 search operations, 991 insert operations
Australia = 238946, 24 search operations, 991 insert operations
Jamaica = <Not found>, 17 search operations, 991 insert operations
High income = <Not found>, 15 search operations, 991 insert operations
Bangladesh = <Not found>, 12 search operations, 991 insert operations
Cambodia = <Not found>, 12 search operations, 991 insert operations
Mexico = <Not found>, 17 search operations, 991 insert operations
Sweden = <Not found>, 14 search operations, 991 insert operations
Curacao = <Not found>, 9 search operations, 991 insert operations
Belgium = 49443, 26 search operations, 991 insert operations
Cambodia = <Not found>, 12 search operations, 991 insert operations
Cyprus = <Not found>, 11 search operations, 991 insert operations
Kenya = <Not found>, 18 search operations, 991 insert operations
Iceland = <Not found>, 12 search operations, 991 insert operations
Kosovo = <Not found>, 19 search operations, 991 insert operations
Zambia = <Not found>, 11 search operations, 991 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 1982 insert operations
Switzerland = <Not found>, 14 search operations, 1982 insert operations
Grenada = <Not found>, 14 search operations, 1982 insert operations
Taiwan = 337612, 16 search operations, 1982 insert operations
Panama = <Not found>, 18 search operations, 1982 insert operations
Israel = <Not found>, 22 search operations, 1982 insert operations
Antigua and Barbuda = <Not found>, 13 search operations, 1982 insert operations
Mongolia = <Not found>, 18 search operations, 1982 insert operations
Kiribati = <Not found>, 21 search operations, 1982 insert operations
Chad = <Not found>, 12 search operations, 1982 insert operations
Australia = 238946, 24 search operations, 1982 insert operations
Jamaica = <Not found>, 19 search operations, 1982 insert operations
High income = <Not found>, 19 search operations, 1982 insert operations
Bangladesh = 854891, 26 search operations, 1982 insert operations
Cambodia = <Not found>, 12 search operations, 1982 insert operations
Mexico = <Not found>, 19 search operations, 1982 insert operations
Sweden = <Not found>, 15 search operations, 1982 insert operations
Curacao = <Not found>, 11 search operations, 1982 insert operations
Belgium = 49443, 26 search operations, 1982 insert operations
Cambodia = <Not found>, 12 search operations, 1982 insert operations
Cyprus = <Not found>, 13 search operations, 1982 insert operations
Kenya = <Not found>, 21 search operations, 1982 insert operations
Iceland = <Not found>, 15 search operations, 1982 insert operations
Kosovo = <Not found>, 21 search operations, 1982 insert operations
Zambia = <Not found>, 13 search operations, 1982 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 2973 insert operations
Switzerland = <Not found>, 15 search operations, 2973 insert operations
Grenada = <Not found>, 16 search operations, 2973 insert operations
Taiwan = 337612, 16 search operations, 2973 insert operations
Panama = <Not found>, 20 search operations, 2973 insert operations
Israel = <Not found>, 22 search operations, 2973 insert operations
Antigua and Barbuda = <Not found>, 15 search operations, 2973 insert operations
Mongolia = <Not found>, 18 search operations, 2973 insert operations
Kiribati = <Not found>, 21 search operations, 2973 insert operations
Chad = <Not found>, 13 search operations, 2973 insert operations
Australia = 238946, 24 search operations, 2973 insert operations
Jamaica = <Not found>, 20 search operations, 2973 insert operations
High income = 4944355, 40 search operations, 2973 insert operations
Bangladesh = 854891, 26 search operations, 2973 insert operations
Cambodia = <Not found>, 12 search operations, 2973 insert operations
Mexico = <Not found>, 19 search operations, 2973 insert operations
Sweden = <Not found>, 16 search operations, 2973 insert operations
Curacao = <Not found>, 11 search operations, 2973 insert operations
Belgium = 49443, 26 search operations, 2973 insert operations
Cambodia = <Not found>, 12 search operations, 2973 insert operations
Cyprus = <Not found>, 15 search operations, 2973 insert operations
Kenya = <Not found>, 21 search operations, 2973 insert operations
Iceland = <Not found>, 17 search operations, 2973 insert operations
Kosovo = <Not found>, 22 search operations, 2973 insert operations
Zambia = <Not found>, 14 search operations, 2973 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 3964 insert operations
Switzerland = <Not found>, 15 search operations, 3964 insert operations
Grenada = 117, 34 search operations, 3964 insert operations
Taiwan = 337612, 16 search operations, 3964 insert operations
Panama = 19956, 42 search operations, 3964 insert operations
Israel = <Not found>, 23 search operations, 3964 insert operations
Antigua and Barbuda = <Not found>, 15 search operations, 3964 insert operations
Mongolia = <Not found>, 19 search operations, 3964 insert operations
Kiribati = <Not found>, 21 search operations, 3964 insert operations
Chad = <Not found>, 13 search operations, 3964 insert operations
Australia = 238946, 24 search operations, 3964 insert operations
Jamaica = <Not found>, 20 search operations, 3964 insert operations
High income = 4944355, 40 search operations, 3964 insert operations
Bangladesh = 854891, 26 search operations, 3964 insert operations
Cambodia = <Not found>, 12 search operations, 3964 insert operations
Mexico = <Not found>, 19 search operations, 3964 insert operations
Sweden = <Not found>, 16 search operations, 3964 insert operations
Curacao = <Not found>, 11 search operations, 3964 insert operations
Belgium = 49443, 26 search operations, 3964 insert operations
Cambodia = <Not found>, 12 search operations, 3964 insert operations
Cyprus = 3434, 34 search operations, 3964 insert operations
Kenya = <Not found>, 21 search operations, 3964 insert operations
Iceland = <Not found>, 18 search operations, 3964 insert operations
Kosovo = <Not found>, 23 search operations, 3964 insert operations
Zambia = <Not found>, 14 search operations, 3964 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Comoros = 609, 24 search operations, 4955 insert operations
Switzerland = <Not found>, 15 search operations, 4955 insert operations
Grenada = 117, 34 search operations, 4955 insert operations
