Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = <Not found>, 18 search operations, 991 insert operations
Romania = <Not found>, 14 search operations, 991 insert operations
Trinidad and Tobago = <Not found>, 11 search operations, 991 insert operations
Iran = <Not found>, 13 search operations, 991 insert operations
Nicaragua = <Not found>, 20 search operations, 991 insert operations
Guernsey = 65, 26 search operations, 991 insert operations
Ireland = <Not found>, 15 search operations, 991 insert operations
Germany = <Not found>, 14 search operations, 991 insert operations
Liechtenstein = <Not found>, 20 search operations, 991 insert operations
Guernsey = 65, 26 search operations, 991 insert operations
Trinidad and Tobago = <Not found>, 11 search operations, 991 insert operations
Europe = <Not found>, 8 search operations, 991 insert operations
Armenia = <Not found>, 11 search operations, 991 insert operations
High income = <Not found>, 15 search operations, 991 insert operations
Malta = 1764, 38 search operations, 991 insert operations
South America = 2833576, 16 search operations, 991 insert operations
Scotland = <Not found>, 14 search operations, 991 insert operations
Madagascar = <Not found>, 18 search operations, 991 insert operations
Portugal = <Not found>, 13 search operations, 991 insert operations
Czechia = <Not found>, 10 search operations, 991 insert operations
Spain = <Not found>, 13 search operations, 991 insert operations
Portugal = <Not found>, 13 search operations, 991 insert operations
Madagascar = <Not found>, 18 search operations, 991 insert operations
Denmark = <Not found>, 12 search operations, 991 insert operations
Norway = <Not found>, 18 search operations, 991 insert operations
Djibouti = <Not found>, 9 search operations, 991 insert operations
Uruguay = <Not found>, 10 search operations, 991 insert operations
Uruguay = <Not found>, 10 search operations, 991 insert operations
Kenya = <Not found>, 18 search operations, 991 insert operations
Pakistan = <Not found>, 12 search operations, 991 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 1982 insert operations
Romania = 17672, 30 search operations, 1982 insert operations
Trinidad and Tobago = <Not found>, 14 search operations, 1982 insert operations
Iran = <Not found>, 14 search operations, 1982 insert operations
Nicaragua = <Not found>, 24 search operations, 1982 insert operations
Guernsey = 65, 26 search operations, 1982 insert operations
Ireland = <Not found>, 17 search operations, 1982 insert operations
Germany = <Not found>, 16 search operations, 1982 insert operations
Liechtenstein = <Not found>, 24 search operations, 1982 insert operations
Guernsey = 65, 26 search operations, 1982 insert operations
Trinidad and Tobago = <Not found>, 14 search operations, 1982 insert operations
Europe = <Not found>, 8 search operations, 1982 insert operations
Armenia = <Not found>, 12 search operations, 1982 insert operations
High income = <Not found>, 19 search operations, 1982 insert operations
Malta = 1764, 38 search operations, 1982 insert operations
South America = 2833576, 16 search operations, 1982 insert operations
Scotland = <Not found>, 16 search operations, 1982 insert operations
Madagascar = <Not found>, 19 search operations, 1982 insert operations
Portugal = <Not found>, 17 search operations, 1982 insert operations
Czechia = <Not found>, 11 search operations, 1982 insert operations
Spain = <Not found>, 16 search operations, 1982 insert operations
Portugal = <Not found>, 17 search operations, 1982 insert operations
Madagascar = <Not found>, 19 search operations, 1982 insert operations
Denmark = <Not found>, 13 search operations, 1982 insert operations
Norway = <Not found>, 22 search operations, 1982 insert operations
Djibouti = <Not found>, 9 search operations, 1982 insert operations
Uruguay = <Not found>, 10 search operations, 1982 insert operations
Uruguay = <Not found>, 10 search operations, 1982 insert operations
Kenya = <Not found>, 18 search operations, 1982 insert operations
Pakistan = <Not found>, 13 search operations, 1982 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 2973 insert operations
Romania = 17672, 30 search operations, 2973 insert operations
Trinidad and Tobago = <Not found>, 14 search operations, 2973 insert operations
Iran = <Not found>, 14 search operations, 2973 insert operations
Nicaragua = <Not found>, 24 search operations, 2973 insert operations
Guernsey = 65, 26 search operations, 2973 insert operations
Ireland = <Not found>, 17 search operations, 2973 insert operations
Germany = 300683, 36 search operations, 2973 insert operations
Liechtenstein = <Not found>, 25 search operations, 2973 insert operations
Guernsey = 65, 26 search operations, 2973 insert operations
Trinidad and Tobago = <Not found>, 14 search operations, 2973 insert operations
Europe = <Not found>, 9 search operations, 2973 insert operations
Armenia = <Not found>, 13 search operations, 2973 insert operations
High income = <Not found>, 19 search operations, 2973 insert operations
Malta = 1764, 38 search operations, 2973 insert operations
South America = 2833576, 16 search operations, 2973 insert operations
Scotland = <Not found>, 17 search operations, 2973 insert operations
Madagascar = 5727, 42 search operations, 2973 insert operations
Portugal = <Not found>, 18 search operations, 2973 insert operations
Czechia = <Not found>, 11 search operations, 2973 insert operations
Spain = <Not found>, 16 search operations, 2973 insert operations
Portugal = <Not found>, 18 search operations, 2973 insert operations
Madagascar = 5727, 42 search operations, 2973 insert operations
Denmark = <Not found>, 14 search operations, 2973 insert operations
Norway = <Not found>, 23 search operations, 2973 insert operations
Djibouti = <Not found>, 12 search operations, 2973 insert operations
Uruguay = <Not found>, 12 search operations, 2973 insert operations
Uruguay = <Not found>, 12 search operations, 2973 insert operations
Kenya = <Not found>, 18 search operations, 2973 insert operations
Pakistan = <Not found>, 15 search operations, 2973 insert operations


Enter the date:
Enter the list of countries (end with an empty line):
Results:
Kazakhstan = 16821, 46 search operations, 3964 insert operations
Romania = 17672, 30 search operations, 3964 insert operations
Trinidad and Tobago = <Not found>, 14 search operations, 3964 insert operations
Iran = <Not found>, 15 search operations, 3964 insert operations
Nicaragua = 31693, 50 search operations, 3964 insert operations
Guernsey = 65, 26 search operations, 3964 insert operations
Ireland = <Not found>, 18 search operations, 3964 insert operations
Germany = 300683, 36 search operations, 3964 insert operations
Liechtenstein = <Not found>, 27 search operations, 3964 insert operations
Guernsey = 65, 26 search operations, 3964 insert operations
Trinidad and Tobago = <Not found>, 14 search operations, 3964 insert operations
Europe = <Not found>, 9 search operations, 3964 insert operations
Armenia = <Not found>, 14 search operations, 3964 insert operations
High income = 4001294, 42 search operations, 3964 insert operations
Malta = 1764, 38 search operations, 3964 insert operations
South America = 2833576, 16 search operations, 3964 insert operations
Scotland = <Not found>, 17 search operations, 3964 insert operations
